269.010, 202.874, 977.952, 988.102, 896.700, 382.592, 1165.954, 988.148, -218.014, 19.215, 831.735, 988.072, 1114.714, 363.377, 334.219, 0.077,


179.407, 585.460, 887.391, 988.172, 642.452, 854.793, 959.835, 988.201, -320.372, 168.360, 671.732, 988.124, 962.824, 686.433, 288.103, 0.077,


261.171, 427.708, 936.289, 988.120, 630.557, 640.805, 1164.734, 988.144, -141.276, 259.311, 701.134, 988.095, 771.833, 381.494, 463.600, 0.050,


175.631, 454.969, 930.153, 988.149, 655.933, 735.660, 1079.273, 988.185, -257.542, 174.826, 734.562, 988.111, 913.475, 560.834, 344.711, 0.075,


293.544, 366.244, 926.102, 988.071, 862.540, 598.105, 1093.303, 988.090, -25.925, 168.055, 716.506, 988.047, 888.465, 430.050, 376.797, 0.042,


288.384, 382.391, 905.783, 988.089, 716.811, 551.074, 1027.301, 988.134, -128.832, 68.686, 708.210, 988.054, 845.643, 482.388, 319.091, 0.079,


397.903, 796.440, -506.306, 987.875, 875.594, 1043.588, -231.373, 987.933, 96.807, 561.017, -874.862, 987.846, 778.787, 482.571, 643.489, 0.087,


557.796, 525.338, -769.448, 987.811, 689.117, 724.558, -524.722, 987.902, 233.386, 278.160, -1071.648, 987.711, 455.731, 446.398, 546.926, 0.191,


349.518, 238.791, -961.098, 987.481, 996.801, 592.798, -787.937, 987.510, -83.204, -61.915, -1084.580, 987.453, 1080.005, 654.713, 296.643, 0.057,


62.861, 1043.466, -71.693, 987.371, 189.649, 1219.329, 191.296, 987.391, -129.015, 842.593, -214.354, 987.358, 318.664, 376.736, 405.650, 0.033,


255.120, 1049.468, -31.293, 987.449, 517.402, 1180.228, 74.359, 987.470, 2.928, 851.438, -158.173, 987.402, 514.474, 328.790, 232.532, 0.067,


363.475, 206.210, -950.020, 987.292, 774.761, 488.732, -787.266, 987.315, -36.661, -160.430, -1081.835, 987.266, 811.422, 649.162, 294.569, 0.049,


